user_id,gender,age,archetype,personality_openness,personality_conscientiousness,personality_extraversion,personality_agreeableness,personality_neuroticism,religion_religiosity,religion_spirituality,religion_secular_lean,values_family_priority,values_career_priority,values_adventure_seeking,values_stability_need,values_social_justice,education_level,education_field,content_news_frequency,content_book_reader,content_podcast_listener,content_social_media_usage,content_streaming_hours,friends_group_size_pref,friends_loyalty_importance,friends_social_frequency,friends_new_people_openness,media_genres,perspectives_political_leaning,perspectives_open_to_debate,perspectives_global_mindset,perspectives_local_focus,preferences_indoor_outdoor,preferences_city_nature,preferences_routine_spontaneous,preferences_planning_impulsive,substances_alcohol_frequency,substances_caffeine_dependency,substances_dietary_flexibility,self_life_satisfaction,self_confidence_level,self_growth_mindset,self_awareness,traits_humor,traits_creativity,traits_empathy,traits_ambition,traits_authenticity,background_hometown_size,background_relationship_status,background_has_kids,background_birth_order,available_days,pref_cuisine_italian,pref_cuisine_japanese,pref_cuisine_mexican,pref_cuisine_american,pref_cuisine_indian,pref_cuisine_thai,pref_cuisine_mediterranean
U0076,M,31,creative,6,3,5,6,5,4,7,3,5,5,4,3,4,Master's,Business,6,5,3,4,5,5,4,5,7,Action|Sci-Fi|Documentary|Thriller,3,7,6,3,6,5,7,4,6,4,7,6,4,7,5,5,7,5,7,7,Suburban,Dating,No,Oldest,Thursday|Friday,3,7,6,2,4,3,7
U0077,F,25,creative,6,2,5,5,4,1,7,4,3,4,7,3,5,Master's,Law & Policy,4,4,6,2,7,5,5,5,6,Comedy|Drama|Documentary,2,7,5,4,7,6,5,7,5,5,6,6,6,7,7,6,6,6,5,6,Urban,Single,No,Youngest,Tuesday|Saturday,1,6,7,3,1,7,6
U0078,F,24,adventurer,5,3,4,4,2,3,7,2,1,4,7,2,4,Master's,Arts & Humanities,4,5,7,1,5,5,4,7,6,Action|Sci-Fi|Romance|Documentary|Thriller,3,6,5,1,5,7,7,5,6,4,5,6,7,7,6,7,4,4,6,6,Small Town,Single,No,Oldest,Monday|Wednesday|Friday,2,2,7,7,3,4,4
U0079,F,26,social,6,4,7,5,3,2,3,5,7,5,5,3,6,Bachelor's,Arts & Humanities,4,1,5,4,4,7,3,5,7,Comedy|Drama|Romance|Horror|Documentary|Reality,3,5,2,5,4,7,4,6,7,4,6,4,6,7,6,7,6,7,7,7,Suburban,Single,No,Only Child,Tuesday|Friday|Saturday|Sunday,1,1,1,4,5,3,4
U0080,F,24,adventurer,4,1,6,4,3,1,6,7,2,6,7,2,5,Bachelor's,Health & Medicine,4,6,5,3,7,6,4,6,7,Comedy|Sci-Fi|Romance|Horror|Thriller,4,6,6,4,6,7,6,6,4,2,6,5,6,7,7,7,7,7,7,5,Suburban,Single,No,Youngest,Wednesday|Friday|Sunday,2,6,4,1,5,1,5
U0081,F,34,professional,3,7,5,5,3,2,3,3,6,7,3,7,3,Bachelor's,STEM,5,4,6,6,5,7,3,6,4,Sci-Fi|Thriller|Animation|Reality,3,4,4,6,4,5,5,1,2,3,4,6,7,6,4,6,5,6,5,6,Urban,Single,No,Oldest,Monday|Friday|Saturday|Sunday,6,4,5,1,3,2,3
U0082,M,29,traditional,3,7,5,7,4,6,2,1,6,5,3,7,2,Master's,Law & Policy,5,7,4,4,2,3,6,4,5,Drama|Romance|Thriller,6,2,6,6,1,3,2,4,2,6,6,4,6,4,5,5,5,7,4,3,Suburban,Single,No,Oldest,Tuesday|Thursday|Saturday|Sunday,1,6,3,4,7,2,7
U0083,M,32,intellectual,7,5,2,5,3,1,5,7,3,5,3,3,7,Some College,STEM,6,7,7,1,3,4,7,5,5,Drama|Sci-Fi|Reality,1,7,6,5,4,5,6,3,3,7,4,7,7,6,5,3,6,7,7,7,Urban,Dating,Yes,Only Child,Wednesday|Friday,4,3,4,6,2,6,4
U0084,F,28,adventurer,4,3,6,6,4,1,5,6,3,4,5,2,3,Bachelor's,Health & Medicine,4,6,3,5,5,5,4,4,6,Drama|Sci-Fi|Documentary|Thriller,6,4,4,3,6,6,7,7,4,4,7,5,3,7,7,6,5,5,7,6,Suburban,Prefer Not to Say,No,Oldest,Monday|Thursday|Saturday|Sunday,4,4,7,1,7,2,5
U0085,M,31,intellectual,7,6,3,4,3,3,3,6,3,4,5,5,7,Some College,Law & Policy,6,7,5,4,5,5,7,4,4,Drama|Action|Sci-Fi|Documentary|Thriller,2,7,7,5,4,2,6,5,4,7,5,7,2,6,7,6,7,4,7,7,Urban,Single,No,Oldest,Monday|Saturday,7,3,7,2,1,1,1
U0086,F,21,intellectual,7,6,2,6,4,2,5,6,2,7,4,6,6,Bachelor's,Arts & Humanities,7,5,7,3,5,3,7,4,5,Sci-Fi,2,7,7,5,4,5,3,7,6,7,2,6,5,6,7,4,7,7,7,7,Suburban,Dating,No,Oldest,Monday|Tuesday|Thursday|Sunday,7,2,5,2,4,2,7
U0087,F,28,creative,6,5,4,5,7,3,6,5,4,4,5,3,6,Master's,Social Sciences,6,6,6,4,6,5,7,4,4,Comedy|Drama|Romance|Horror|Documentary,1,6,7,2,2,5,6,3,4,6,6,5,6,6,6,7,5,7,7,6,Small Town,Prefer Not to Say,Yes,Oldest,Tuesday|Thursday|Sunday,1,6,6,5,3,3,3
U0088,M,36,traditional,3,7,4,7,3,7,4,1,7,7,3,4,3,Some College,STEM,7,5,5,6,3,3,4,6,3,Action|Romance|Documentary|Animation,6,2,4,6,3,3,4,1,1,5,4,5,7,5,5,4,5,7,4,4,Suburban,Single,Yes,Middle,Monday|Wednesday|Saturday|Sunday,3,5,4,7,1,4,3
U0089,M,30,professional,4,7,5,3,3,3,4,5,4,7,6,6,6,PhD/Professional,Health & Medicine,7,5,6,5,4,7,5,4,5,Horror|Documentary|Thriller,4,5,4,4,3,6,3,3,5,7,4,4,7,7,6,5,4,5,6,7,Urban,Prefer Not to Say,No,Oldest,Wednesday|Saturday,2,1,4,7,6,2,1
U0090,F,33,social,4,3,7,7,3,4,3,7,5,3,7,6,7,Bachelor's,STEM,7,4,5,7,6,6,7,7,7,Comedy|Romance|Documentary|Thriller|Reality,4,4,3,2,4,5,4,6,5,5,5,7,5,7,4,5,5,7,6,7,Urban,Single,No,Middle,Tuesday|Friday,6,1,1,1,3,1,4
U0091,F,29,adventurer,5,5,6,7,4,3,6,2,3,2,7,3,4,Bachelor's,Business,5,3,7,2,4,3,4,4,6,Comedy|Drama|Action|Sci-Fi|Romance|Horror|Thriller|Animation|Reality,4,5,4,3,6,7,7,6,6,4,6,7,4,7,5,6,4,5,6,5,Urban,Dating,No,Middle,Thursday|Saturday,7,7,5,5,1,6,1
U0092,F,31,creative,7,4,6,7,4,2,5,5,4,2,6,3,5,Bachelor's,STEM,4,4,7,4,4,4,6,4,7,Comedy|Drama|Action|Horror|Documentary|Animation,4,5,7,3,6,6,5,6,4,7,7,4,7,7,6,5,5,7,4,6,Small Town,Prefer Not to Say,No,Oldest,Monday|Tuesday|Wednesday|Thursday,4,6,4,5,2,7,3
U0093,M,29,creative,7,2,6,4,6,1,7,3,4,3,7,2,6,Bachelor's,STEM,4,6,5,3,6,6,4,7,7,Comedy|Drama|Sci-Fi|Horror|Documentary|Thriller|Animation|Reality,1,4,6,2,7,6,5,4,6,4,6,6,5,7,6,7,7,6,6,7,Urban,Single,Yes,Only Child,Monday|Saturday|Sunday,7,1,3,4,2,1,1
U0094,F,24,traditional,1,7,5,4,2,7,3,3,7,5,4,6,3,Some College,STEM,5,3,4,4,3,2,7,6,5,Drama|Thriller|Reality,6,2,7,6,2,5,4,2,5,6,3,4,7,1,5,3,3,7,5,5,Rural,Single,No,Youngest,Monday|Tuesday|Thursday|Sunday,2,7,5,6,1,1,3
U0095,F,23,creative,7,5,7,5,5,5,7,4,2,5,7,2,5,Bachelor's,Health & Medicine,4,6,2,4,7,3,5,4,6,Drama|Sci-Fi|Horror,2,5,7,4,4,7,7,6,3,6,5,5,7,7,5,3,7,4,5,7,Small Town,Single,No,Oldest,Monday|Tuesday|Wednesday|Saturday,6,6,5,2,3,2,5
U0096,F,29,social,5,4,7,7,5,3,3,3,6,6,5,4,7,Master's,Business,6,4,3,7,5,6,5,6,7,Comedy|Drama|Sci-Fi|Romance|Animation|Reality,1,6,6,1,6,4,6,5,6,5,7,4,7,6,6,7,4,7,5,7,Urban,Single,No,Youngest,Tuesday|Saturday|Sunday,2,7,3,4,1,6,5
U0097,M,42,social,5,4,7,6,3,6,2,3,7,3,3,5,2,Master's,Social Sciences,5,6,3,4,4,7,6,6,7,Comedy|Drama|Romance|Reality,5,7,5,1,4,4,5,5,7,7,5,7,6,5,6,7,7,5,4,6,Urban,Single,No,Oldest,Monday|Tuesday|Thursday,4,1,7,6,5,3,2
U0098,F,30,social,6,3,7,5,4,5,2,3,7,4,6,3,5,Some College,Arts & Humanities,7,4,5,6,5,7,6,6,7,Comedy|Drama|Sci-Fi|Romance,3,5,4,5,5,5,4,4,7,7,5,7,7,4,4,7,5,6,6,4,Urban,Single,No,Only Child,Wednesday|Saturday|Sunday,1,2,7,2,4,7,5
U0099,F,28,adventurer,6,4,5,5,3,2,4,5,2,2,7,1,5,Master's,STEM,1,4,6,1,5,7,3,6,7,Action|Horror|Documentary|Thriller|Reality,2,7,6,3,7,5,7,7,4,3,6,6,5,5,1,6,6,3,5,7,Small Town,Single,No,Youngest,Monday|Tuesday|Saturday|Sunday,5,4,7,5,2,4,2
U0100,M,32,adventurer,6,5,6,4,4,2,4,2,3,4,6,3,6,Bachelor's,Law & Policy,4,5,7,3,4,5,6,3,6,Comedy|Horror,4,7,7,4,6,5,7,3,7,3,5,7,4,4,5,7,5,5,7,7,Urban,Single,Yes,Oldest,Wednesday|Thursday|Friday|Sunday,2,2,3,3,3,7,3
U0101,F,34,adventurer,4,3,7,6,3,1,4,4,2,4,7,3,3,Some College,STEM,7,6,6,4,7,3,5,3,7,Action|Documentary|Reality,3,5,5,1,6,7,6,7,3,5,5,5,5,5,5,4,4,5,5,7,Urban,Single,No,Only Child,Saturday|Sunday,5,7,1,6,7,6,3
U0102,F,29,traditional,1,7,6,7,4,7,3,1,7,3,2,7,3,High School,Business,4,3,3,4,6,5,7,6,5,Comedy|Drama|Action|Sci-Fi|Romance|Reality,7,4,3,6,4,4,1,1,3,4,3,7,6,4,5,7,4,4,6,6,Urban,Dating,No,Youngest,Monday|Tuesday|Wednesday|Sunday,5,3,6,1,5,7,6
U0103,M,24,intellectual,7,6,1,4,4,1,5,6,5,7,4,5,3,Some College,Business,7,5,7,2,3,5,5,3,4,Comedy|Drama|Sci-Fi|Documentary,1,6,7,4,5,5,2,4,5,5,7,6,5,6,7,5,7,6,7,7,Suburban,Single,No,Middle,Monday|Friday|Saturday|Sunday,5,1,4,2,7,3,6
U0104,F,25,social,6,4,6,7,3,4,6,6,7,4,7,3,4,Bachelor's,STEM,2,5,4,7,5,7,5,5,7,Comedy|Action|Romance|Thriller|Animation|Reality,1,4,2,2,5,2,3,5,5,7,7,5,7,6,4,5,5,7,4,7,Suburban,Dating,No,Only Child,Thursday|Friday|Sunday,4,4,3,1,4,1,2
U0105,M,34,professional,7,7,7,6,2,4,3,7,5,7,5,7,6,Master's,Arts & Humanities,6,6,7,6,5,6,7,6,4,Comedy|Drama|Horror|Thriller,3,5,5,6,1,4,3,2,3,5,4,5,7,7,7,5,6,6,7,5,Rural,Single,No,Oldest,Monday|Tuesday|Saturday|Sunday,5,2,5,1,6,6,4
U0106,M,30,intellectual,6,5,2,3,1,2,4,6,4,7,5,3,5,Master's,STEM,7,6,5,3,4,5,6,3,7,Drama|Sci-Fi|Documentary,2,6,6,2,4,5,6,2,5,6,5,4,3,7,5,4,7,4,5,7,Suburban,Single,Yes,Only Child,Thursday|Sunday,5,2,5,1,6,5,7
U0107,F,22,social,5,4,7,4,4,3,5,3,6,5,6,5,5,Bachelor's,STEM,3,4,7,6,7,5,5,7,6,Comedy|Drama|Action|Sci-Fi|Horror|Thriller,3,6,5,3,3,4,3,5,5,6,5,7,3,5,4,6,5,7,6,6,Urban,Single,No,Youngest,Thursday|Friday,6,6,1,7,6,4,3
U0108,F,35,creative,6,4,4,7,7,1,5,1,3,5,5,4,3,Master's,Social Sciences,5,5,5,4,4,3,6,6,7,Drama|Action|Romance|Animation,2,6,4,3,5,7,7,7,6,4,6,5,5,7,6,7,4,7,5,5,Suburban,Single,No,Oldest,Wednesday|Saturday,5,2,7,4,5,1,1
U0109,F,28,intellectual,7,7,1,6,6,1,5,7,2,7,6,6,6,PhD/Professional,Health & Medicine,6,7,7,2,4,3,5,4,4,Drama|Sci-Fi|Thriller,4,5,7,6,2,2,6,3,7,4,5,5,5,7,7,5,6,7,7,7,Urban,Dating,No,Oldest,Tuesday|Wednesday|Thursday|Friday,5,2,3,1,7,2,5
U0110,F,21,adventurer,5,1,7,5,2,2,7,3,4,6,5,1,6,Bachelor's,Business,3,6,5,2,4,6,5,6,7,Comedy|Action|Horror|Thriller,5,2,5,6,5,7,6,6,6,4,7,7,7,6,7,7,4,7,7,6,Suburban,Single,No,Only Child,Monday|Wednesday|Thursday|Saturday,5,2,1,6,2,6,3
U0111,M,27,intellectual,6,5,1,5,1,3,3,5,3,6,6,7,7,Master's,Health & Medicine,7,7,7,2,3,4,6,4,5,Comedy|Drama|Sci-Fi|Documentary,1,6,7,2,4,6,5,3,2,6,2,5,5,7,6,5,7,6,5,6,Suburban,Dating,No,Oldest,Monday|Tuesday|Friday|Sunday,3,3,4,4,7,3,2
U0112,F,32,intellectual,7,4,5,5,2,1,4,6,2,5,4,7,6,PhD/Professional,Business,7,6,7,4,5,4,6,3,5,Drama|Sci-Fi|Romance|Documentary|Thriller,4,6,6,5,5,5,4,3,3,7,6,3,6,7,7,6,7,5,7,7,Suburban,Single,No,Youngest,Tuesday|Friday|Sunday,5,6,3,1,1,2,4
U0113,M,34,professional,5,7,3,4,3,6,3,5,4,7,4,7,6,Bachelor's,Business,6,4,6,7,3,4,4,4,7,Drama|Action|Thriller,5,5,2,3,4,3,3,4,2,4,3,6,6,7,6,7,3,5,6,7,Rural,Dating,No,Middle,Monday|Thursday|Friday|Sunday,3,3,1,7,7,1,7
U0114,F,34,creative,7,3,6,7,3,4,5,4,4,3,6,2,6,Bachelor's,Arts & Humanities,2,7,5,2,6,2,5,3,7,Drama|Action|Romance|Horror|Documentary|Thriller|Animation|Reality,1,5,6,2,5,4,7,7,7,5,7,3,7,7,5,7,7,5,7,6,Urban,Dating,No,Oldest,Tuesday|Friday|Sunday,7,5,3,1,1,7,2
U0115,F,34,traditional,3,7,1,6,6,7,4,2,6,5,3,6,5,Bachelor's,Health & Medicine,6,5,5,4,2,3,7,4,3,Comedy|Drama|Action|Documentary|Reality,5,7,1,6,5,4,3,2,2,2,4,4,5,4,7,7,4,6,3,7,Urban,Open Relationship,Yes,Youngest,Tuesday|Sunday,3,1,6,7,1,7,3
U0116,F,25,professional,4,5,3,7,3,3,2,3,3,5,5,7,5,Master's,STEM,4,6,7,6,4,4,6,7,6,Drama|Action|Sci-Fi|Thriller,3,4,4,3,5,4,4,2,3,6,6,6,6,6,5,7,5,4,7,7,Urban,Single,No,Only Child,Monday|Tuesday,1,2,1,5,6,6,6
U0117,M,30,creative,5,2,6,5,6,1,6,6,3,5,6,4,7,Bachelor's,Social Sciences,5,5,6,3,6,2,5,7,6,Comedy|Drama|Action|Documentary|Animation,3,7,6,4,6,6,7,5,4,3,6,6,5,7,6,5,5,7,7,7,Rural,Prefer Not to Say,No,Oldest,Thursday|Friday|Saturday|Sunday,6,3,5,7,2,6,5
U0118,F,26,intellectual,7,5,3,3,2,2,2,7,4,7,5,4,6,Master's,Business,7,5,6,3,4,3,7,4,7,Sci-Fi,3,7,6,3,5,3,3,7,6,6,4,6,4,7,6,7,6,7,7,7,Urban,Dating,No,Oldest,Tuesday|Wednesday|Thursday,3,7,1,4,7,1,7
U0119,F,33,professional,5,7,7,6,2,5,3,3,4,7,4,6,7,PhD/Professional,Social Sciences,4,3,4,5,4,6,6,4,5,Drama|Action|Sci-Fi|Thriller,4,3,7,5,3,6,4,3,3,7,6,5,7,6,7,7,5,5,7,5,Suburban,Single,No,Middle,Tuesday|Wednesday|Friday|Saturday,5,4,6,5,1,7,1
U0120,F,25,social,6,5,6,6,3,3,5,4,7,4,5,4,4,Bachelor's,STEM,5,4,5,6,5,6,5,7,5,Sci-Fi|Thriller|Animation|Reality,3,5,3,3,4,4,5,5,5,6,7,7,4,6,5,7,4,7,5,5,Small Town,Dating,No,Oldest,Tuesday|Wednesday|Sunday,7,1,6,3,6,1,2
U0121,F,22,creative,5,2,5,6,6,6,6,3,4,4,6,2,6,Some College,Business,4,4,6,3,4,4,3,6,2,Sci-Fi|Horror|Animation,1,7,5,2,7,5,7,7,6,3,5,7,5,7,7,7,7,5,6,6,Suburban,Single,No,Oldest,Wednesday|Thursday|Sunday,6,1,2,1,5,5,7
U0122,M,31,professional,4,7,3,6,3,3,3,6,5,7,5,6,6,Bachelor's,Social Sciences,6,5,6,4,3,5,7,7,3,Thriller,6,5,6,3,3,5,1,4,6,6,7,6,7,3,7,7,5,2,7,4,Small Town,Single,Yes,Youngest,Wednesday|Friday|Saturday,1,7,4,4,4,1,3
U0123,F,38,intellectual,6,7,5,6,2,1,4,6,3,7,5,3,5,PhD/Professional,STEM,6,7,7,3,3,3,7,4,6,Comedy|Drama|Sci-Fi|Romance,4,7,7,5,3,7,4,3,6,7,5,4,5,7,7,6,7,7,7,7,Suburban,Single,No,Only Child,Wednesday|Thursday|Friday|Saturday,1,5,6,6,7,3,5
U0124,M,27,adventurer,7,1,4,2,1,1,5,4,4,4,7,5,5,Bachelor's,Business,4,4,4,4,6,7,6,5,7,Comedy|Drama|Action|Documentary|Thriller|Reality,3,6,7,3,7,7,7,7,5,4,7,7,5,5,4,7,5,5,7,7,Suburban,Single,No,Oldest,Tuesday|Wednesday|Thursday|Friday,3,5,1,2,2,5,1
U0125,M,26,intellectual,7,7,3,5,2,1,3,5,6,6,5,4,7,Some College,Social Sciences,7,7,7,2,4,2,7,6,6,Comedy|Drama|Action|Sci-Fi|Thriller,4,7,6,5,4,4,4,3,4,7,6,4,5,7,6,4,7,7,6,5,Suburban,Dating,Yes,Youngest,Wednesday|Sunday,1,6,2,4,7,2,2
U0126,M,25,social,6,2,7,4,6,4,4,3,3,6,5,7,4,High School,Health & Medicine,4,2,5,7,7,5,7,7,7,Comedy|Drama|Sci-Fi|Romance|Reality,2,4,5,3,7,4,2,3,4,5,5,6,7,5,5,7,7,7,6,3,Suburban,Single,No,Oldest,Tuesday|Saturday|Sunday,3,7,2,7,4,6,3
U0127,M,30,creative,6,3,6,6,4,2,5,4,6,1,6,1,3,PhD/Professional,Law & Policy,5,7,6,5,5,3,7,5,7,Comedy|Drama|Sci-Fi|Documentary|Reality,2,4,3,2,6,7,7,4,7,4,6,5,6,7,5,4,7,5,7,7,Urban,Single,No,Only Child,Tuesday|Friday|Saturday|Sunday,5,7,3,5,6,1,3
U0128,M,31,professional,7,7,7,4,4,5,3,7,3,6,5,6,4,Master's,Health & Medicine,7,5,5,5,5,3,7,4,4,Comedy|Drama|Action|Sci-Fi|Documentary|Thriller,5,6,3,4,4,5,4,3,4,6,6,7,7,6,5,5,6,6,6,6,Suburban,Single,No,Only Child,Monday|Thursday|Friday|Sunday,2,4,3,7,2,7,6
U0129,M,34,adventurer,6,3,7,7,1,1,4,2,1,4,6,1,7,High School,Arts & Humanities,3,4,7,2,3,5,7,5,6,Action|Documentary|Thriller,4,5,7,2,7,7,7,6,4,3,5,6,4,6,5,7,6,5,7,6,Suburban,Single,Yes,Middle,Wednesday|Thursday|Friday|Saturday,6,4,2,6,7,7,5
U0130,F,38,social,3,5,7,6,4,3,5,3,2,4,3,5,4,PhD/Professional,Social Sciences,2,1,5,7,4,6,5,7,5,Comedy|Drama|Action|Romance|Documentary|Animation,3,3,5,5,6,6,6,7,6,7,4,6,6,4,2,7,4,6,7,7,Rural,Single,No,Youngest,Monday|Sunday,4,2,4,2,3,1,1
U0131,M,26,social,7,6,7,7,4,3,4,4,6,3,5,2,5,Bachelor's,STEM,6,1,3,5,6,5,7,7,7,Comedy|Drama|Horror|Animation,1,7,6,3,3,5,4,4,5,6,2,7,7,5,5,7,5,7,6,7,Suburban,Dating,No,Oldest,Tuesday|Wednesday|Thursday|Sunday,3,6,6,7,7,5,4
U0132,M,25,intellectual,7,6,4,5,4,1,4,5,6,5,6,5,6,Master's,Other,6,6,5,2,4,3,7,3,4,Sci-Fi|Thriller|Animation,1,7,7,6,5,5,6,4,5,6,3,4,5,7,7,5,7,5,7,5,Suburban,Open Relationship,No,Only Child,Tuesday|Thursday|Saturday,5,3,5,1,6,4,7
U0133,M,31,adventurer,3,5,5,5,2,4,4,5,4,2,7,4,4,Some College,STEM,5,5,7,5,2,3,4,7,7,Comedy|Action|Sci-Fi|Documentary|Thriller,1,6,5,4,7,5,7,7,3,4,5,6,7,7,5,7,4,4,7,6,Urban,Dating,Yes,Oldest,Thursday|Saturday,3,4,5,4,7,3,3
U0134,F,33,intellectual,7,6,2,5,4,2,4,5,5,4,4,3,6,Master's,Law & Policy,7,7,6,5,5,3,7,5,5,Sci-Fi|Romance|Documentary,1,7,6,3,4,6,3,5,3,4,6,7,4,5,7,4,7,7,7,7,Rural,Single,No,Oldest,Monday|Wednesday|Saturday|Sunday,7,7,2,7,7,4,4
U0135,F,27,professional,5,6,4,5,3,5,2,5,4,6,5,7,5,Bachelor's,STEM,7,3,5,7,4,5,5,5,7,Comedy|Drama|Sci-Fi|Thriller,2,7,3,3,2,5,2,2,2,7,5,5,7,4,6,5,5,6,7,6,Urban,Dating,No,Oldest,Monday|Tuesday|Saturday|Sunday,4,6,4,6,7,1,7
U0136,M,35,intellectual,7,6,5,6,1,1,5,6,3,7,5,5,7,Bachelor's,Arts & Humanities,7,7,6,4,6,1,7,5,7,Sci-Fi|Romance|Documentary|Thriller,2,6,7,6,2,2,4,5,4,7,4,2,4,7,7,3,5,5,7,7,Urban,Dating,No,Middle,Monday|Tuesday|Thursday|Sunday,3,7,1,4,5,7,6
U0137,F,23,social,3,3,7,4,4,5,5,5,4,4,3,5,7,Bachelor's,Social Sciences,6,2,6,7,6,7,6,5,6,Comedy|Horror|Animation|Reality,2,6,6,4,4,3,5,4,5,6,6,5,4,4,6,7,4,7,2,3,Suburban,Prefer Not to Say,No,Middle,Monday|Tuesday|Wednesday|Thursday,3,1,5,6,3,1,3
U0138,M,40,creative,7,4,5,4,6,3,6,3,4,3,5,4,3,Bachelor's,Other,5,7,4,3,6,4,5,6,7,Drama|Action|Sci-Fi|Horror|Documentary|Thriller|Reality,1,4,7,5,6,5,6,4,6,3,6,4,6,7,6,6,6,7,6,6,Urban,Single,No,Middle,Monday|Wednesday,2,7,3,3,2,2,4
U0139,M,24,social,6,4,7,6,4,4,5,2,5,4,6,6,4,Bachelor's,Social Sciences,7,2,7,7,5,7,5,7,7,Comedy|Action|Animation,3,7,5,5,5,7,4,4,7,4,7,7,6,3,5,7,7,7,4,7,Suburban,Single,Yes,Oldest,Tuesday|Wednesday|Thursday,1,3,3,2,4,5,3
U0140,F,27,professional,6,7,6,4,4,3,2,5,4,7,2,6,6,Some College,STEM,6,7,7,5,4,4,7,3,5,Drama|Sci-Fi|Documentary,2,7,5,4,4,6,2,3,4,4,4,6,7,4,7,5,5,6,6,7,Suburban,Dating,No,Oldest,Monday|Wednesday|Thursday|Sunday,5,5,7,1,2,5,3
U0141,M,32,professional,7,7,5,4,4,3,1,7,6,7,2,4,5,Master's,Social Sciences,5,5,7,6,6,3,6,6,6,Romance|Documentary|Thriller,6,6,7,5,4,5,3,4,6,7,5,7,4,4,7,5,6,5,7,5,Urban,Single,Yes,Oldest,Monday|Wednesday|Thursday|Saturday,3,7,4,3,6,3,2
U0142,F,31,intellectual,7,7,4,5,2,2,5,7,6,5,5,6,7,Bachelor's,Business,7,7,5,2,4,3,6,4,6,Drama|Sci-Fi|Documentary|Animation,1,7,7,6,3,3,3,4,3,6,5,5,5,5,7,5,7,5,5,7,Suburban,Single,Yes,Youngest,Monday|Tuesday|Thursday,4,5,2,5,7,1,2
U0143,F,27,social,7,4,7,3,5,3,2,2,3,5,6,3,6,Bachelor's,STEM,4,3,4,7,5,6,6,7,6,Comedy|Action|Romance|Horror|Documentary,1,7,5,4,3,7,7,3,6,5,7,7,4,4,4,7,7,7,6,5,Urban,Dating,No,Youngest,Monday|Tuesday,1,6,3,4,1,1,5
U0144,M,27,intellectual,7,7,3,4,4,2,1,7,5,6,6,4,6,Bachelor's,Business,5,7,7,2,3,2,7,3,6,Drama|Sci-Fi|Documentary,3,7,5,5,5,5,4,4,5,7,4,6,5,7,5,5,6,5,6,6,Suburban,Open Relationship,No,Only Child,Monday|Wednesday|Thursday,7,6,2,7,7,5,1
U0145,M,32,intellectual,6,7,3,4,1,1,1,7,4,6,5,6,7,Master's,Arts & Humanities,7,7,7,5,1,2,7,5,6,Drama|Sci-Fi|Documentary,2,7,7,4,6,5,5,5,4,7,2,2,4,6,7,4,7,6,7,6,Suburban,Single,No,Youngest,Monday|Tuesday|Wednesday|Saturday,4,5,5,3,4,5,6
U0146,F,28,adventurer,5,2,7,6,2,1,5,5,5,2,6,1,7,Bachelor's,Arts & Humanities,4,4,7,2,3,4,7,6,7,Comedy|Drama|Action|Sci-Fi|Documentary|Thriller,3,5,6,3,6,7,7,5,4,1,7,7,5,6,4,7,3,5,6,7,Small Town,Single,No,Only Child,Wednesday|Thursday|Friday|Sunday,7,3,5,1,7,2,3
U0147,M,33,traditional,3,7,4,6,5,7,3,1,7,5,3,7,4,High School,Social Sciences,7,4,5,7,3,4,7,4,5,Comedy|Drama|Action|Sci-Fi|Romance,6,4,5,7,2,3,1,5,5,6,4,5,6,7,5,6,1,7,3,5,Rural,Single,No,Oldest,Monday|Wednesday|Friday|Saturday,6,2,1,7,1,7,6
U0148,M,30,social,3,7,7,4,4,3,3,4,6,3,4,4,6,Master's,Social Sciences,4,5,4,7,7,7,4,5,7,Action|Horror|Documentary|Thriller|Animation|Reality,3,4,6,4,4,6,6,4,7,7,4,6,6,7,4,6,4,7,4,5,Suburban,Single,No,Middle,Monday|Wednesday,6,2,1,7,3,6,4
U0149,M,35,adventurer,7,5,4,4,5,1,5,5,1,2,7,2,7,Bachelor's,Business,4,7,7,5,5,5,6,7,7,Comedy|Action|Sci-Fi|Romance|Horror|Documentary|Thriller,3,6,7,2,6,6,6,7,6,7,6,7,7,7,4,5,4,5,5,4,Suburban,Dating,Yes,Youngest,Tuesday|Wednesday|Friday,6,1,7,7,1,3,7
U0150,F,28,intellectual,7,6,5,6,5,3,2,7,4,6,5,5,6,Some College,Business,6,7,7,3,3,3,7,5,4,Drama|Sci-Fi|Documentary|Animation,1,7,7,3,6,4,4,3,2,7,4,4,6,5,5,5,7,7,7,7,Suburban,Dating,No,Oldest,Tuesday|Thursday,5,7,7,2,1,7,5
U0151,F,27,professional,5,6,6,4,3,3,3,5,3,7,4,4,4,Some College,Business,7,3,7,7,2,6,6,6,4,Comedy|Drama|Romance|Documentary,5,6,4,2,1,5,4,4,4,4,4,7,6,6,5,5,4,6,7,5,Suburban,Single,No,Oldest,Tuesday|Wednesday,3,3,1,1,2,4,1
U0152,M,27,intellectual,7,5,3,3,3,2,6,4,3,7,5,5,5,Bachelor's,Business,6,7,7,3,4,1,7,5,7,Drama|Action|Documentary|Thriller|Animation,1,7,5,4,5,1,4,3,3,7,6,5,5,7,7,4,7,6,7,6,Suburban,Dating,No,Middle,Thursday|Friday,1,1,3,7,6,7,7
